,Player,Salary 2022/23,MP,FG,FGA,2P,2PA,FT,FTA,AST,TOV,PTS,WS,VORP
159,Draymond Green,25806468,31.2,3.2,6.2,2.6,4.4,0.9,1.2,6.7,2.4,7.8,2.2,0.7
160,Jalen Green,9441840,34.3,7.1,17.3,4.8,10.1,4.7,5.9,3.6,2.9,21.3,1.0,0.0
161,JaMychal Green,8200000,14.9,2.3,4.5,1.8,2.7,0.8,1.1,0.8,1.1,5.8,0.6,-0.2
162,Javonte Green,1815677,16.0,2.2,3.7,1.7,2.5,1.0,1.5,0.8,0.7,5.9,1.3,0.5
163,Jeff Green,4500000,19.3,2.8,5.4,2.5,4.1,1.5,2.1,1.1,1.0,7.5,0.6,-0.2
164,Josh Green,3098400,20.3,2.4,4.1,1.4,2.0,1.3,1.8,1.2,0.7,7.0,1.6,0.3
165,AJ Griffin,3536160,21.5,4.0,8.7,2.4,4.2,0.4,0.5,1.1,0.8,10.1,1.1,0.3
166,Blake Griffin,2905851,15.1,1.8,3.7,1.3,2.1,0.9,1.3,1.3,0.4,5.1,0.7,0.1
167,Quentin Grimes,2277000,28.4,3.6,7.7,1.8,2.8,1.1,1.5,2.1,1.1,10.2,1.8,0.5
168,Rui Hachimura,6263188,24.4,5.4,10.5,4.4,7.9,1.7,2.2,1.3,1.3,13.5,0.9,0.1
169,Tyrese Haliburton,4215120,33.5,7.4,15.3,4.4,7.9,2.7,3.1,10.2,2.6,20.6,5.3,3.0
170,Jordan Hall,193027,9.2,1.0,3.1,0.7,1.4,0.8,1.0,1.2,0.8,3.1,-0.1,-0.1
171,RJ Hampton,2412840,14.4,2.0,4.6,1.3,2.4,1.2,1.5,1.4,0.8,6.0,0.6,0.1
172,Tim Hardaway Jr,19602273,28.3,4.5,11.8,1.7,3.9,1.9,2.4,1.6,0.9,13.8,1.1,0.1
173,James Harden,33000000,38.3,6.8,15.6,4.0,8.1,6.0,6.9,10.8,3.7,22.3,3.3,1.5
174,Jaden Hardy,1017781,7.1,1.4,4.0,1.2,2.6,0.8,0.8,0.3,0.4,3.7,-0.2,-0.2
175,Ron Harper Jr,508891,4.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
176,Montrezl Harrell,2463490,12.0,2.0,3.5,2.0,3.5,1.4,1.9,0.7,0.6,5.3,1.3,0.1
177,Gary Harris,13000000,24.2,3.7,7.3,2.1,3.8,1.5,1.6,1.5,1.1,10.5,0.5,0.0
178,Joe Harris,18642857,25.1,3.0,7.1,1.2,2.4,0.4,0.6,1.6,0.5,8.3,1.1,-0.1
179,Kevon Harris,508891,12.6,1.2,2.9,0.8,1.8,0.8,1.0,0.5,0.6,3.7,0.4,-0.1
180,Tobias Harris,37633050,34.5,6.4,13.0,4.4,7.9,1.6,1.8,2.7,1.3,16.5,3.2,1.0
181,Josh Hart,12960000,34.5,3.6,7.1,2.9,5.2,1.8,2.4,4.1,1.7,9.6,2.9,0.7
182,Isaiah Hartenstein,7804879,19.4,2.3,4.5,2.1,3.7,0.7,0.9,0.8,0.8,5.5,2.1,0.2
183,Udonis Haslem,2905851,7.2,0.2,2.0,0.2,1.8,0.2,0.4,0.0,0.0,0.6,-0.1,-0.1
184,Sam Hauser,1637966,15.7,2.1,4.8,0.4,0.6,0.2,0.3,0.7,0.4,6.1,1.3,0.3
185,Jaxson Hayes,6803012,13.2,1.7,3.0,1.5,2.1,1.2,1.7,0.8,0.6,4.7,0.7,0.1
186,Killian Hayes,5837760,25.7,3.6,9.6,2.5,6.2,0.8,1.0,5.5,1.7,9.1,0.1,-0.3
187,Gordon Hayward,30075000,32.7,5.1,12.0,4.0,8.2,2.3,3.0,3.9,2.1,13.7,0.2,-0.2
188,Juancho Hernangomez,2298385,17.5,1.6,3.4,1.0,1.5,0.2,0.4,0.7,0.5,3.9,0.6,-0.1
189,Willy Hernangomez,2443581,11.7,2.3,4.4,2.2,4.1,2.4,2.9,0.9,1.2,6.9,0.9,0.1
