,Player,Pos,Age,Tm,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,2022/23,2023/24,2024/25,2025/26,2026/27,2027/28
79,Alex Caruso,PG,28,CHI,24.1,1.8,4.0,.441,0.8,2.1,.394,0.9,1.9,.492,.544,0.9,1.2,.750,0.4,2.3,2.7,3.4,1.6,0.6,1.3,2.4,5.2,11.0,.579,.522,.294,2.1,10.5,6.4,17.6,3.1,2.6,22.7,10.6,0.4,1.1,1.5,.086,-2.2,3.0,0.8,0.6,9030000,9460000,9890000,0,0,0
80,Julian Champagnie,SF,21,PHI,3.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-3.8,.000,.500,.000,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.7,0.0,0.0,0.0,-0.212,-12.1,-1.2,-13.3,0.0,508891,1761752,0,0,0,0
81,Justin Champagnie,SF,21,TOR,3.7,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0,29.4,1.000,.000,.000,9.5,33.2,20.5,16.2,0.0,0.0,0.0,11.6,0.1,0.0,0.1,.335,6.3,1.6,7.9,0.0,825000,0,0,0,0,0
82,Kennedy Chandler,PG,20,MEM,10.0,1.3,3.1,.414,0.1,0.6,.167,1.2,2.4,.478,.431,0.3,0.6,.455,0.3,1.2,1.4,2.2,0.5,0.3,0.8,0.6,2.9,11.1,.438,.207,.190,2.8,11.9,7.4,27.9,2.5,2.4,19.3,16.7,-0.1,0.3,0.2,.043,-3.0,1.5,-1.4,0.0,1200000,1719864,2019699,2187699,0,0
83,Max Christie,SG,19,LAL,13.0,1.0,2.8,.371,0.7,1.7,.421,0.3,1.1,.292,.500,0.2,0.3,.833,0.2,1.9,2.1,0.6,0.1,0.1,0.4,0.7,3.0,6.4,.518,.613,.097,2.0,15.2,8.9,5.6,0.5,0.9,11.0,10.8,0.0,0.2,0.2,.027,-2.9,-1.1,-4.0,-0.1,1017781,1719864,0,0,0,0
84,Josh Christopher,SG,21,HOU,6.6,1.1,2.6,.414,0.1,0.8,.176,1.0,1.9,.512,.440,0.3,0.4,.750,0.2,0.8,1.0,0.6,0.2,0.0,0.5,0.7,2.6,7.8,.463,.293,.138,3.7,12.7,8.2,14.9,1.7,0.7,16.3,20.9,-0.2,0.1,-0.1,-0.040,-5.4,-1.1,-6.5,-0.2,2372160,2485200,4346615,6354751,0,0
85,Brandon Clarke,PF,26,MEM,19.5,4.1,6.3,.652,0.0,0.2,.167,4.1,6.1,.665,.654,1.9,2.5,.756,1.4,4.1,5.5,1.1,0.5,0.7,1.1,2.4,10.1,19.4,.684,.027,.389,7.6,21.4,14.6,8.3,1.1,3.4,13.1,17.8,1.6,1.1,2.7,.193,0.4,1.7,2.1,0.7,4343919,12500000,12500000,12500000,12500000,0
86,Jordan Clarkson,SG,30,UTA,32.5,7.3,16.4,.448,2.7,7.5,.356,4.7,8.9,.525,.529,3.1,3.8,.816,1.1,2.7,3.8,4.5,0.5,0.2,2.8,2.0,20.4,15.5,.566,.458,.230,3.7,9.3,6.5,21.3,0.8,0.6,13.5,27.0,1.3,0.5,1.8,.064,1.5,-2.4,-0.8,0.4,13340000,14260000,0,0,0,0
87,Nic Claxton,C,23,BRK,28.3,5.3,7.2,.738,0.0,0.0,.000,5.3,7.2,.741,.738,1.2,2.6,.469,2.5,5.9,8.3,1.5,0.8,2.6,1.2,2.8,11.9,21.1,.710,.004,.360,10.6,22.5,16.9,7.3,1.3,8.0,12.5,15.1,2.6,1.9,4.5,.206,1.0,2.0,3.0,1.3,8500000,8750000,0,0,0,0
88,Amir Coffey,SG,25,LAC,14.3,1.2,3.2,.374,0.3,0.9,.321,0.9,2.3,.394,.419,1.1,1.4,.814,0.4,0.8,1.2,1.3,0.2,0.1,0.5,1.2,3.8,7.5,.500,.283,.434,3.2,6.1,4.7,12.7,0.7,0.4,10.6,13.0,0.2,0.3,0.5,.053,-4.4,-0.2,-4.6,-0.3,3395062,3666667,3938271,0,0,0
