,Player,Salary 2022/23,Tm,Pos,MP,FG,FGA,2P,2PA,FT,FTA,TOV,PTS,WS,VORP
101,Jae Crowder,10183800,MIL,SF,18.9,2.5,5.2,1.2,2.2,0.6,0.7,0.4,6.9,1.2,0.3
102,Jarrett Culver,260295,ATL,SG,13.7,1.7,4.3,1.6,3.1,0.9,1.3,0.7,4.4,0.0,-0.1
103,Cade Cunningham,10552800,DET,PG,33.3,7.8,18.7,6.3,13.6,3.0,3.6,3.3,19.9,-0.1,0.1
104,Seth Curry,8496653,BRK,SG,19.9,3.4,7.4,1.9,3.6,0.8,0.9,0.8,9.2,1.8,0.0
105,Stephen Curry,48070014,GSW,PG,34.7,10.0,20.2,5.1,8.8,4.6,5.0,3.2,29.4,7.8,4.7
106,Dyson Daniels,5508600,NOP,PG,17.7,1.5,3.5,1.0,2.1,0.4,0.7,1.0,3.8,1.3,0.0
107,Anthony Davis,37980720,LAL,C,34.0,9.7,17.2,9.3,15.9,6.2,7.9,2.2,25.9,9.0,4.0
108,Johnny Davis,4810320,WAS,SG,15.1,2.4,6.1,1.8,3.6,0.5,1.0,0.6,5.8,-0.3,-0.6
109,Terence Davis,4000000,SAC,SG,13.1,2.4,5.7,1.0,1.9,0.5,0.7,0.8,6.7,0.9,0.1
110,JD Davison,508891,BOS,PG,5.5,0.7,1.6,0.5,1.0,0.1,0.2,0.3,1.6,0.1,0.0
111,Darius Days,508891,HOU,PF,6.3,1.3,3.0,0.5,0.5,0.5,0.5,0.0,3.8,0.1,0.0
112,Dewayne Dedmon,8283688,TOT,C,11.2,2.0,4.0,1.7,2.9,0.9,1.3,0.7,5.2,1.0,0.0
113,Matthew Dellavedova,2628597,SAC,PG,6.7,0.5,1.6,0.3,0.7,0.1,0.2,0.3,1.5,0.1,-0.2
114,DeMar DeRozan,27300000,CHI,SF,36.2,8.9,17.6,8.3,15.7,6.2,7.1,2.1,24.5,8.5,2.6
115,Moussa Diabate,508891,LAC,PF,8.9,1.1,2.1,1.0,2.0,0.5,0.7,0.4,2.7,0.4,0.0
116,Mamadi Diakite,508891,CLE,PF,8.0,1.1,2.3,0.8,1.3,0.1,0.1,0.5,2.6,0.2,-0.1
117,Hamidou Diallo,5200000,DET,SG,17.8,3.8,6.7,3.8,6.3,1.6,2.6,1.3,9.3,1.3,0.1
118,Gorgui Dieng,4105236,SAS,C,11.5,1.5,3.8,0.8,1.4,0.3,0.4,1.0,3.9,0.0,-0.2
119,Ousmane Dieng,4569840,OKC,SF,14.6,1.9,4.6,1.3,2.1,0.4,0.6,0.7,4.9,0.4,-0.2
120,Spencer Dinwiddie,19500000,TOT,PG,34.5,5.8,13.3,3.5,7.1,3.4,4.2,1.8,17.3,6.3,1.8
121,Donte DiVincenzo,4500000,GSW,SG,26.3,3.3,7.5,1.2,2.3,0.8,1.0,1.6,9.4,4.2,1.3
122,Luka Doncic,37096500,DAL,PG,36.2,10.9,22.0,8.1,13.8,7.8,10.5,3.6,32.4,10.2,6.6
123,Tyler Dorsey,201802,DAL,SG,2.7,1.3,1.7,1.0,1.0,0.0,0.0,0.0,3.0,0.1,0.0
124,Luguentz Dort,15277778,OKC,SG,30.7,4.6,11.8,2.8,6.3,2.7,3.5,1.2,13.7,2.9,-0.6
125,Ayo Dosunmu,1563518,CHI,SG,26.2,3.5,7.1,2.8,4.8,0.8,1.0,1.2,8.6,2.9,-0.2
126,Devon Dotson,169630,WAS,PG,8.8,0.2,1.7,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0
127,Jeff Dowtin,508891,TOR,PG,10.4,1.0,2.3,0.8,1.6,0.2,0.4,0.2,2.4,0.4,0.0
128,PJ Dozier,784654,SAC,SG,4.9,0.6,2.1,0.5,1.1,0.0,0.0,0.3,1.4,-0.2,-0.1
129,Goran Dragic,3523762,TOT,PG,15.0,2.4,5.8,1.5,3.3,0.5,0.8,1.1,6.3,0.4,-0.4
130,Andre Drummond,3200000,CHI,C,12.7,2.5,4.1,2.5,4.0,1.0,1.9,1.1,6.0,2.8,0.3
131,Chris Duarte,3936960,IND,SF,19.5,2.7,7.2,1.5,3.5,1.3,1.6,0.9,7.9,0.0,-0.6
132,David Duke Jr,531283,BRK,SG,9.9,1.6,3.4,1.5,2.9,0.5,0.7,0.8,3.7,-0.1,-0.3
133,Kris Dunn,1000001,UTA,PG,25.8,5.3,9.8,4.5,8.2,1.9,2.4,1.6,13.2,1.9,0.6
134,Kevin Durant,44119845,TOT,PF-SF,35.6,10.3,18.3,8.3,13.4,6.5,7.1,3.3,29.1,6.8,3.9
135,Jalen Duren,4124280,DET,C,24.9,3.9,5.9,3.9,5.9,1.4,2.3,1.4,9.1,4.5,0.5
136,Tari Eason,3359160,HOU,PF,21.5,3.6,8.0,2.9,6.0,1.3,1.8,1.2,9.3,2.6,0.1
137,Anthony Edwards,10733400,MIN,SG,36.0,8.9,19.5,6.3,12.2,4.0,5.3,3.3,24.6,3.8,2.1
138,Kessler Edwards,1637966,TOT,SF,10.7,1.0,2.6,0.5,1.1,0.3,0.4,0.4,2.8,0.4,-0.2
139,Keon Ellis,508891,SAC,SG,4.4,0.4,1.0,0.1,0.3,0.3,0.4,0.1,1.5,0.2,0.1
140,Joel Embiid,33616770,PHI,C,34.6,11.0,20.1,10.0,17.1,10.0,11.7,3.4,33.1,12.3,6.4
141,Drew Eubanks,1968175,POR,C,20.3,2.7,4.3,2.7,4.1,1.1,1.6,0.9,6.6,4.4,0.8
142,Bruno Fernando,2717391,TOT,C,10.4,1.5,2.9,1.5,2.8,0.9,1.3,0.6,3.9,0.9,0.0
143,Dorian Finney-Smith,12939848,TOT,PF,30.4,3.0,7.6,1.2,2.5,0.7,0.9,0.9,8.3,2.1,0.0
144,Malachi Flynn,2145720,TOR,PG,13.0,1.6,4.6,0.8,2.1,0.5,0.6,0.5,4.6,0.5,-0.4
145,Simone Fontecchio,3205128,UTA,SF,14.7,2.2,6.0,1.0,2.3,0.7,0.8,0.8,6.3,-0.1,-0.6
146,Bryn Forbes,2298385,MIN,SG,10.7,1.2,3.3,0.6,1.5,0.6,0.6,0.5,3.6,0.0,-0.3
147,Trent Forrest,508891,ATL,PG,12.0,1.1,2.6,1.1,2.5,0.1,0.1,0.7,2.3,-0.1,-0.2
148,Michael Foster Jr,106288,PHI,PF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Evan Fournier,18000000,NYK,SG,17.0,2.1,6.1,0.8,1.9,0.7,0.8,0.8,6.1,0.1,-0.2
150,De'Aaron Fox,30351780,SAC,PG,33.4,9.3,18.2,7.7,13.2,4.7,6.0,2.5,25.0,7.4,2.7
151,Markelle Fultz,16500000,ORL,PG,29.6,5.8,11.3,5.4,9.9,1.9,2.4,2.3,14.0,3.7,1.2
152,Wenyen Gabriel,1878720,LAL,PF,15.1,2.3,3.8,2.1,3.3,0.8,1.2,0.7,5.5,2.8,-0.1
153,Daniel Gafford,1930681,WAS,C,20.6,3.7,5.1,3.7,5.1,1.6,2.4,1.1,9.0,6.1,1.2
154,Darius Garland,8920794,CLE,PG,35.5,7.6,16.4,5.1,10.4,4.0,4.7,2.9,21.6,7.6,2.7
155,Usman Garuba,2471160,HOU,PF,12.9,1.1,2.4,0.8,1.6,0.4,0.6,0.6,3.0,1.8,0.2
156,Luka Garza,508891,MIN,C,8.7,2.3,4.1,1.8,2.8,1.5,1.9,0.5,6.5,1.1,0.1
157,Rudy Gay,6184500,UTA,PF,14.6,1.9,5.1,1.4,2.8,0.8,0.9,0.7,5.2,0.3,-0.4
158,Paul George,42492492,LAC,SG,34.6,8.2,17.9,5.4,10.3,4.6,5.3,3.1,23.8,4.6,2.3
159,Taj Gibson,2905851,WAS,C,9.8,1.3,2.6,1.2,2.1,0.6,0.9,0.5,3.4,0.8,-0.1
160,Josh Giddey,6287400,OKC,SG,31.1,7.1,14.7,6.1,11.6,1.4,1.9,2.8,16.6,4.0,1.9
161,Shai Gilgeous-Alexander,30913750,OKC,PG,35.5,10.4,20.3,9.5,17.8,9.8,10.9,2.8,31.4,11.4,5.6
162,Anthony Gill,1836090,WAS,PF,10.6,1.2,2.2,1.1,1.7,0.8,1.1,0.3,3.3,1.3,-0.2
163,Jacob Gilyard,5849,MEM,PG,41.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0,0.1,0.0
164,Rudy Gobert,38172414,MIN,C,30.7,5.1,7.8,5.1,7.8,3.1,4.9,1.7,13.4,7.8,1.4
165,Jordan Goodwin,1280206,WAS,PG,17.8,2.5,5.7,1.9,3.8,0.9,1.1,0.9,6.6,2.2,0.8
166,Aaron Gordon,19690909,DEN,PF,30.2,6.3,11.2,5.4,8.6,2.8,4.6,1.4,16.3,6.8,2.1
167,Eric Gordon,19568360,TOT,SG,28.5,4.2,9.5,2.3,4.3,2.1,2.5,1.5,12.4,2.3,0.1
168,Devonte' Graham,11550000,TOT,PG,18.3,2.2,5.9,0.6,1.3,1.3,1.8,0.7,7.4,2.5,0.6
